[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: DxDCheck: RectDxD
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: DxDCheck: TextDxD
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: SnapshotCheck: CDBImplGroup
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: SnapshotCheck: CDBImplPin (regular)
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: SnapshotCheck: AttributesUtility (regular)
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: SnapshotCheck: CDBImplPin (cached)
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: SnapshotCheck: AttributesUtility (cached)
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: Block: P
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: BlockCheck: CDBImplNet
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: BlockCheck: CDBImplBus
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: BlockCheck: CDBImplPin
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: BlockCheck: CDBImplPort
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: BlockCheck: CDBImplComp
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: BlockCheck: AttributesUtility
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: BlockCheck: CDBImplBlockViewDxD
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: BlockViewDxDCheck: CDBImplNetDxD
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: BlockViewDxDCheck: CDBImplRipperDxD
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesConstraint
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesPin
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesFromTo
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesPhysicalNet
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesPinPair
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesElectricalNet
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesDiffPair
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesComponent
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesPartPin
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesPartPinPair
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesPart
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesDesign
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesLayerClearRule
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesSchemeClearRule
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesViaAssign
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesLayerRule
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesSchemeNetClassRule
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesScheme
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesLayer
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesNetClass
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesClearRule
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesConstraintClass
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesViaSpan
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesGenClear
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesPartTech
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesConstVar
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesC2CClearRule
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesPkgTypeClearRule
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesP2PClearRule
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesParRuleSection
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesParRuleDef
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesNoiseRule
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesGenObj
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesGenCompObj
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesGenObjType
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesVia
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesZAxisLayerRule
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: CesConfigCheck: CesZAxisClearRule
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: ConfigCheck: CDBImplComp
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: ConfigCheck: CDBImplNet
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: ConfigCheck: CDBImplPin
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: Snapshot: clipboard_j82t579 check finished.
[2014.11.03 10:17:05] [0000m.01s.059ms] [0] Diagnostic: FINISH
[2014.11.03 10:17:05] [0000m.01s.059ms] [0] .
